,publicid_channel,ncalls_B,ncalls_A,delta_ncalls,energy_B,energy_A,delta_energy,publicid,Channel,depth,magnitude,DistOrigin,Energy,Datetime,DOY
116,2016p427491_4,33,145,112,-3.16130303,-5.170958621,-2.00965559,2016p427491,4,85.86700439,3.678503189,82829.07216,28.822,6/7/2016 4:08,159
117,2016p427491_5,71,64,-7,-10.20208451,-8.13853125,2.063553257,2016p427491,5,85.86700439,3.678503189,180048.4805,15.227,6/7/2016 4:08,159
118,2016p438469_1,14,8,-6,-12.36314286,-14.1255,-1.762357143,2016p438469,1,13.45981407,3.292279163,172786.9681,10.657,6/11/2016 5:37,163
119,2016p438469_2,43,226,183,-10.60188372,-12.88719027,-2.285306545,2016p438469,2,13.45981407,3.292279163,48546.81839,20.272,6/11/2016 5:36,163
120,2016p438469_3,39,140,101,-7.713410256,-14.9988,-7.285389744,2016p438469,3,13.45981407,3.292279163,52630.28857,29.016,6/11/2016 5:36,163
121,2016p438469_4,61,191,130,-10.84029508,-14.35505236,-3.514757274,2016p438469,4,13.45981407,3.292279163,123160.7474,14.816,6/11/2016 5:37,163
122,2016p445360_1,5,4,-1,-13.7164,-16.216,-2.4996,2016p445360,1,5,3.401255055,180865.3087,10.355,6/13/2016 18:48,165
123,2016p445360_2,40,73,33,-13.72705,-12.35353425,1.373515753,2016p445360,2,5,3.401255055,172697.5883,14.421,6/13/2016 18:48,165
124,2016p445360_3,30,54,24,-14.2016,-16.02940741,-1.827807407,2016p445360,3,5,3.401255055,215127.0432,16.313,6/13/2016 18:48,165
125,2016p445360_4,6,11,5,-7.530833333,-3.897363636,3.633469697,NA,NA,NA,NA,NA,NA,NA,NA
126,2016p452435_1,19,23,4,-14.72336842,-13.336,1.387368421,2016p452435,1,16.12910271,3.431327528,198273.4196,11.672,6/16/2016 9:38,168
127,2016p452435_2,162,26,-136,-20.06940123,-17.37346154,2.695939696,2016p452435,2,16.12910271,3.431327528,77569.36961,26.254,6/16/2016 9:38,168
128,2016p452435_3,3,0,-3,-13.72533333,NA,NA,2016p452435,3,16.12910271,3.431327528,73730.85789,39.604,6/16/2016 9:38,168
129,2016p452435_4,176,36,-140,-11.59393182,-9.534944444,2.058987374,2016p452435,4,16.12910271,3.431327528,150519.7315,22.354,6/16/2016 9:38,168
130,2016p452435_5,128,48,-80,-15.93225781,-14.57764583,1.354611979,2016p452435,5,16.12910271,3.431327528,253750.7341,8.918,6/16/2016 9:38,168
131,2016p470092_1,67,7,-60,-15.71574627,-15.53042857,0.185317697,2016p470092,1,25.71006966,3.001803294,166417.7748,12.907,6/22/2016 22:25,174
132,2016p470092_2,100,2,-98,-14.2959,-13.822,0.4739,2016p470092,2,25.71006966,3.001803294,61977.22876,23.294,6/22/2016 22:25,174
133,2016p470092_3,112,2,-110,-16.74508929,-19.5085,-2.763410714,2016p470092,3,25.71006966,3.001803294,84574.70713,32.528,6/22/2016 22:25,174
134,2016p470092_4,207,22,-185,-7.524594203,-12.698,-5.173405797,2016p470092,4,25.71006966,3.001803294,146007.5838,21.138,6/22/2016 22:25,174
135,2016p470092_5,52,18,-34,-17.70309615,-15.8285,1.874596154,2016p470092,5,25.71006966,3.001803294,240603.1912,9.332,6/22/2016 22:26,174
136,2016p484154_1,41,72,31,-15.86934146,-14.81604167,1.053299797,2016p484154,1,64.13944244,3.472038397,181555.77,19.959,6/28/2016 3:18,180
137,2016p484154_2,48,116,68,-14.97383333,-14.17503448,0.798798851,2016p484154,2,64.13944244,3.472038397,53002.43272,28.477,6/28/2016 3:17,180
138,2016p484154_3,1,27,26,-7.815,-15.86351852,-8.048518519,2016p484154,3,64.13944244,3.472038397,16297.21611,40.553,6/28/2016 3:17,180
139,2016p484154_4,41,95,54,-10.43663415,-11.25909474,-0.822460591,2016p484154,4,64.13944244,3.472038397,97944.87676,30.824,6/28/2016 3:17,180
140,2016p484154_5,28,81,53,-19.09664286,-17.83359259,1.263050265,2016p484154,5,64.13944244,3.472038397,205496.1992,17.642,6/28/2016 3:18,180
