X,publicid_channel,SI_B,SI_A,delta_SI,publicid,Channel,depth,magnitude,DistOrigin,Energy,Datetime,DOY,Energy_dBFS
146,2016p445360_5,1.070670907,1.089030077,0.01835917,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,2016p452435_1,1.084736393,1.092795742,0.008059348,2016p452435,1,16.12910271,3.431327528,198273.4196,11.672,6/16/2016 9:38,168,-28.881
148,2016p452435_2,1.106057029,1.067364731,-0.038692298,2016p452435,2,16.12910271,3.431327528,77569.36961,26.254,6/16/2016 9:38,168,-14.299
149,2016p452435_3,1.103737933,1.03831543,-0.065422503,2016p452435,3,16.12910271,3.431327528,73730.85789,39.604,6/16/2016 9:38,168,-0.949
150,2016p452435_4,1.132506504,1.116915479,-0.015591025,2016p452435,4,16.12910271,3.431327528,150519.7315,22.354,6/16/2016 9:38,168,-18.199
151,2016p452435_5,1.161526898,1.166989808,0.00546291,2016p452435,5,16.12910271,3.431327528,253750.7341,8.918,6/16/2016 9:38,168,-31.635
152,2016p470092_1,1.075186485,1.099348794,0.024162309,2016p470092,1,25.71006966,3.001803294,166417.7748,12.907,6/22/2016 22:25,174,-27.646
153,2016p470092_2,1.117621596,1.083497178,-0.034124418,2016p470092,2,25.71006966,3.001803294,61977.22876,23.294,6/22/2016 22:25,174,-17.259
154,2016p470092_3,1.082939575,1.076040923,-0.006898653,2016p470092,3,25.71006966,3.001803294,84574.70713,32.528,6/22/2016 22:25,174,-8.025
155,2016p470092_4,1.191900168,1.157123838,-0.034776331,2016p470092,4,25.71006966,3.001803294,146007.5838,21.138,6/22/2016 22:25,174,-19.415
156,2016p470092_5,1.186804229,1.186138396,-0.000665833,2016p470092,5,25.71006966,3.001803294,240603.1912,9.332,6/22/2016 22:26,174,-31.221
157,2016p484154_1,1.159190407,1.174964079,0.015773672,2016p484154,1,64.13944244,3.472038397,181555.77,19.959,6/28/2016 3:18,180,-20.594
158,2016p484154_2,1.193882628,1.185128157,-0.008754471,2016p484154,2,64.13944244,3.472038397,53002.43272,28.477,6/28/2016 3:17,180,-12.076
159,2016p484154_3,1.030598298,1.095799013,0.065200714,2016p484154,3,64.13944244,3.472038397,16297.21611,40.553,6/28/2016 3:17,180,0
160,2016p484154_4,1.174045308,1.233494878,0.05944957,2016p484154,4,64.13944244,3.472038397,97944.87676,30.824,6/28/2016 3:17,180,-9.729
161,2016p484154_5,1.220625843,1.21347541,-0.007150433,2016p484154,5,64.13944244,3.472038397,205496.1992,17.642,6/28/2016 3:18,180,-22.911
