X,publicid_channel,SI_B,SI_A,delta_SI,publicid,Channel,depth,magnitude,DistOrigin,Energy,Datetime,DOY,Energy_dBFS
132,2016p427491_1,1.051796275,1.143903909,0.092107634,2016p427491,1,85.86700439,3.678503189,136465.2936,22.361,6/7/2016 4:08,159,-18.192
133,2016p427491_2,1.044516796,1.171168679,0.126651884,2016p427491,2,85.86700439,3.678503189,8029.151108,30.702,6/7/2016 4:08,159,-9.851
134,2016p427491_3,0.989631154,0.968830186,-0.020800968,2016p427491,3,85.86700439,3.678503189,44431.60903,32.215,6/7/2016 4:08,159,-8.338
135,2016p427491_4,1.102769376,1.230913154,0.128143778,2016p427491,4,85.86700439,3.678503189,82829.07216,28.822,6/7/2016 4:08,159,-11.731
136,2016p427491_5,1.134517378,1.153061966,0.018544588,2016p427491,5,85.86700439,3.678503189,180048.4805,15.227,6/7/2016 4:08,159,-25.326
137,2016p438469_1,1.152790532,1.134057098,-0.018733434,2016p438469,1,13.45981407,3.292279163,172786.9681,10.657,6/11/2016 5:37,163,-29.896
138,2016p438469_2,1.148527614,1.074223345,-0.074304269,2016p438469,2,13.45981407,3.292279163,48546.81839,20.272,6/11/2016 5:36,163,-20.281
139,2016p438469_3,1.103632802,1.108928121,0.005295319,2016p438469,3,13.45981407,3.292279163,52630.28857,29.016,6/11/2016 5:36,163,-11.537
140,2016p438469_4,1.159323107,1.097535095,-0.061788012,2016p438469,4,13.45981407,3.292279163,123160.7474,14.816,6/11/2016 5:37,163,-25.737
141,2016p438469_5,1.108311427,1.061337236,-0.046974191,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,2016p445360_1,1.079824042,1.085353308,0.005529267,2016p445360,1,5,3.401255055,180865.3087,10.355,6/13/2016 18:48,165,-30.198
143,2016p445360_2,1.079534625,1.051766995,-0.027767629,2016p445360,2,5,3.401255055,172697.5883,14.421,6/13/2016 18:48,165,-26.132
144,2016p445360_3,1.062777633,1.12032722,0.057549588,2016p445360,3,5,3.401255055,215127.0432,16.313,6/13/2016 18:48,165,-24.24
145,2016p445360_4,1.051947137,1.016981456,-0.034965682,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,2016p445360_5,1.079850492,1.113918875,0.034068384,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,2016p452435_1,1.088766068,1.102387835,0.013621767,2016p452435,1,16.12910271,3.431327528,198273.4196,11.672,6/16/2016 9:38,168,-28.881
148,2016p452435_2,1.08671088,1.078380201,-0.008330679,2016p452435,2,16.12910271,3.431327528,77569.36961,26.254,6/16/2016 9:38,168,-14.299
149,2016p452435_3,1.071026682,1.098741893,0.027715211,2016p452435,3,16.12910271,3.431327528,73730.85789,39.604,6/16/2016 9:38,168,-0.949
150,2016p452435_4,1.124710992,1.129645316,0.004934324,2016p452435,4,16.12910271,3.431327528,150519.7315,22.354,6/16/2016 9:38,168,-18.199
151,2016p452435_5,1.164258353,1.167720106,0.003461753,2016p452435,5,16.12910271,3.431327528,253750.7341,8.918,6/16/2016 9:38,168,-31.635
152,2016p470092_1,1.087267639,1.097529125,0.010261485,2016p470092,1,25.71006966,3.001803294,166417.7748,12.907,6/22/2016 22:25,174,-27.646
153,2016p470092_2,1.100559387,1.042280763,-0.058278624,2016p470092,2,25.71006966,3.001803294,61977.22876,23.294,6/22/2016 22:25,174,-17.259
154,2016p470092_3,1.079490249,1.039802149,-0.0396881,2016p470092,3,25.71006966,3.001803294,84574.70713,32.528,6/22/2016 22:25,174,-8.025
155,2016p470092_4,1.174512003,1.15184439,-0.022667613,2016p470092,4,25.71006966,3.001803294,146007.5838,21.138,6/22/2016 22:25,174,-19.415
156,2016p470092_5,1.186471312,1.130467494,-0.056003819,2016p470092,5,25.71006966,3.001803294,240603.1912,9.332,6/22/2016 22:26,174,-31.221
157,2016p484154_1,1.167077243,1.153138958,-0.013938285,2016p484154,1,64.13944244,3.472038397,181555.77,19.959,6/28/2016 3:18,180,-20.594
158,2016p484154_2,1.189505393,1.113476056,-0.076029336,2016p484154,2,64.13944244,3.472038397,53002.43272,28.477,6/28/2016 3:17,180,-12.076
159,2016p484154_3,1.063198656,1.118658496,0.055459841,2016p484154,3,64.13944244,3.472038397,16297.21611,40.553,6/28/2016 3:17,180,0
160,2016p484154_4,1.203770093,1.212404409,0.008634316,2016p484154,4,64.13944244,3.472038397,97944.87676,30.824,6/28/2016 3:17,180,-9.729
161,2016p484154_5,1.217050627,1.221356014,0.004305387,2016p484154,5,64.13944244,3.472038397,205496.1992,17.642,6/28/2016 3:18,180,-22.911
