X,publicid_channel,ncalls_B,ncalls_A,delta_ncalls,energy_B,energy_A,delta_energy,publicid,Channel,depth,magnitude,DistOrigin,Energy,Datetime,DOY,Energy_dBFS,energy_B_dBFS,energy_A_dBFS,delta_energy_dBFS
68,2016p337803_1,59,13,-46,-8.894644068,-15.85153846,-6.956894394,NA,NA,NA,NA,NA,NA,NA,NA,NA,-49.44764407,-56.40453846,-6.956894392
69,2016p337803_2,18,31,13,-14.40888889,-7.611483871,6.797405018,2016p337803,2,21.90081215,3.053528429,116851.966,17.545,5/4/2016 23:42,125,-23.008,-54.96188889,-48.16448387,6.797405019
70,2016p337803_3,3,0,-3,-2.835666667,NA,NA,2016p337803,3,21.90081215,3.053528429,65221.68039,32.155,5/4/2016 23:42,125,-8.398,-43.38866667,NA,NA
71,2016p337803_4,51,110,59,-5.643254902,-8.074963636,-2.431708734,2016p337803,4,21.90081215,3.053528429,127715.8336,16.731,5/4/2016 23:42,125,-23.822,-46.1962549,-48.62796364,-2.431708734
72,2016p337803_5,49,12,-37,-11.05377551,-11.26316667,-0.209391156,NA,NA,NA,NA,NA,NA,NA,NA,NA,-51.60677551,-51.81616667,-0.20939116
73,2016p361097_1,98,74,-24,-8.970408163,-11.77925676,-2.808848593,NA,NA,NA,NA,NA,NA,NA,NA,NA,-49.52340816,-52.33225676,-2.808848597
74,2016p361097_2,54,82,28,-11.40587037,-9.569963415,1.835906956,2016p361097,2,11.22273731,3.035207333,131001.6224,15.918,5/13/2016 14:33,134,-24.635,-51.95887037,-50.12296342,1.835906955
75,2016p361097_3,66,89,23,-9.155242424,-7.665168539,1.490073885,2016p361097,3,11.22273731,3.035207333,163163.4538,14.418,5/13/2016 14:33,134,-26.135,-49.70824242,-48.21816854,1.490073885
76,2016p361097_4,3,10,7,-11.86833333,-11.7815,0.086833333,2016p361097,4,11.22273731,3.035207333,215922.312,9.657,5/13/2016 14:33,134,-30.896,-52.42133333,-52.3345,0.08683333
77,2016p361097_5,3,6,3,-18.81033333,-16.0215,2.788833333,NA,NA,NA,NA,NA,NA,NA,NA,NA,-59.36333333,-56.5745,2.78883333
78,2016p389145_1,5,10,5,-7.6194,-6.2628,1.3566,2016p389145,1,75.84237671,3.230236853,159012.1864,18.847,5/23/2016 23:37,144,-21.706,-48.1724,-46.8158,1.3566
79,2016p389145_2,45,12,-33,-18.35457778,-17.18166667,1.172911111,2016p389145,2,75.84237671,3.230236853,48252.37984,27.05,5/23/2016 23:37,144,-13.503,-58.90757778,-57.73466667,1.17291111
80,2016p389145_3,65,11,-54,-1.486676923,-4.119363636,-2.632686713,2016p389145,3,75.84237671,3.230236853,25861.94252,31.722,5/23/2016 23:36,144,-8.831,-42.03967692,-44.67236364,-2.632686713
81,2016p389145_4,21,4,-17,-15.81642857,-18.81775,-3.001321429,2016p389145,4,75.84237671,3.230236853,57216.03138,31.908,5/23/2016 23:37,144,-8.645,-56.36942857,-59.37075,-3.00132143
